,date,cancelledOn,createdOn
0,2018-05-31,2018-05-28,2018-05-22
1,2018-06-01,2018-05-28,2018-05-22
2,2018-06-02,2018-05-28,2018-05-22
3,2018-06-03,2018-05-28,2018-05-22
4,2018-08-10,2018-03-19,2018-02-21
5,2018-08-11,2018-03-19,2018-02-21
6,2018-08-28,2018-04-24,2018-04-11
7,2018-08-29,2018-04-24,2018-04-11
8,2018-08-30,2018-04-24,2018-04-11
9,2018-08-31,2018-04-24,2018-04-11
10,2018-09-01,2018-04-24,2018-04-11
11,2018-09-02,2018-04-24,2018-04-11
12,2018-09-03,2018-04-24,2018-04-11
13,2019-01-19,2018-10-17,2018-07-21
14,2019-01-19,2018-10-17,2018-07-21
15,2019-07-11,2018-12-17,2018-12-03
16,2019-07-11,2018-12-17,2018-12-03
17,2019-07-11,2018-12-17,2018-12-03
18,2019-07-11,2018-12-17,2018-12-03
19,2019-07-31,2019-05-26,2019-05-17
20,2019-08-01,2019-05-26,2019-05-17
21,2019-08-02,2019-05-26,2019-05-17
22,2019-08-03,2019-05-26,2019-05-17
23,2019-07-31,2019-05-26,2019-05-17
24,2019-08-01,2019-05-26,2019-05-17
25,2019-08-02,2019-05-26,2019-05-17
26,2019-08-03,2019-05-26,2019-05-17
27,2019-08-07,2019-08-05,2019-08-04
28,2019-08-08,2019-08-07,2019-08-06
29,2019-08-08,2018-12-05,2018-12-02
30,2019-08-09,2018-12-05,2018-12-02
31,2019-08-10,2018-12-05,2018-12-02
32,2019-08-11,2018-12-05,2018-12-02
33,2019-08-09,2019-08-06,2019-08-05
34,2019-08-10,2019-08-06,2019-08-05
35,2019-08-09,2019-08-06,2019-08-05
36,2019-08-10,2019-08-06,2019-08-05
37,2019-08-09,2019-08-06,2019-02-06
38,2019-08-10,2019-08-06,2019-02-06
39,2019-08-12,2019-08-10,2019-08-04
40,2019-08-13,2019-08-10,2019-08-04
41,2019-08-14,2019-08-10,2019-08-04
42,2019-08-15,2019-08-10,2019-08-04
43,2019-08-12,2019-08-10,2019-07-13
44,2019-08-13,2019-08-11,2019-08-10
45,2019-08-13,2019-08-11,2019-08-10
46,2019-08-13,2019-08-11,2019-08-10
47,2019-08-13,2019-08-13,2019-07-04
48,2019-08-15,2019-08-13,2019-08-12
49,2019-08-16,2019-08-13,2019-08-12
50,2019-08-16,2019-08-12,2019-08-09
51,2019-08-17,2019-08-12,2019-08-09
52,2019-08-18,2019-08-12,2019-08-09
53,2019-08-17,2019-08-10,2019-07-23
